,season,Opponent DRtg/A,shot_distance,left_side,middle,right_side,moving,playoffs,home,segababa,Dunk or Layup,shot_made_flag,total_seconds_remaining
22901,1,108.06,256.0,0,0,1,0,0,1,0,0,0.0,2202
22902,1,101.68,228.0,0,0,1,0,0,0,0,0,0.0,2048
22903,1,109.65,323.0,0,0,1,0,0,0,1,0,1.0,1957
22904,1,109.65,0.0,0,1,0,0,0,0,1,0,0.0,1834
22905,1,109.65,148.0,0,1,0,0,0,0,1,0,1.0,1767
22907,1,108.57,287.0,0,1,0,0,0,0,0,0,1.0,1576
22909,1,108.57,256.0,0,1,0,0,0,0,0,0,0.0,833
22910,1,108.57,310.0,0,0,1,0,0,0,0,0,1.0,794
22911,1,108.57,0.0,0,1,0,1,0,0,0,1,0.0,722
22912,1,108.57,330.0,0,0,1,0,0,0,0,0,0.0,549
22913,1,108.57,0.0,0,1,0,1,0,0,0,1,0.0,516
22914,1,103.2,0.0,0,1,0,1,0,1,0,1,0.0,2230
22915,1,103.2,0.0,0,1,0,0,0,1,0,1,0.0,2043
22916,1,103.2,217.0,0,1,0,0,0,1,0,0,0.0,1948
22918,1,104.8,234.0,1,0,0,0,0,0,0,0,0.0,1631
22917,1,104.8,263.0,0,0,1,0,0,0,0,0,1.0,1824
22919,1,113.15,0.0,0,1,0,0,0,0,1,1,1.0,79
22920,1,113.15,48.0,1,0,0,0,0,0,1,0,1.0,6
22921,1,108.58,172.0,0,0,1,0,0,1,0,0,1.0,2015
22922,1,108.58,33.0,1,0,0,0,0,1,0,0,0.0,1982
22923,1,108.58,0.0,0,1,0,0,0,1,0,1,0.0,1947
22924,1,108.58,116.0,1,0,0,0,0,1,0,0,0.0,1873
22931,1,109.44,0.0,0,1,0,0,0,0,0,1,1.0,720
22932,1,109.44,50.0,1,0,0,0,0,0,0,0,1.0,6
22930,1,109.44,325.0,0,0,1,0,0,0,0,0,1.0,763
22927,1,109.44,167.0,0,1,0,0,0,0,0,0,1.0,1762
22928,1,109.44,0.0,0,1,0,0,0,0,0,1,0.0,1613
22934,1,113.27,236.0,1,0,0,0,0,0,0,0,0.0,1441
22939,1,105.23,72.0,1,0,0,0,0,1,1,0,1.0,83
22937,1,105.23,179.0,0,0,1,0,0,1,1,0,0.0,1721
22935,1,105.23,363.0,0,0,1,0,0,1,1,0,1.0,2066
22940,1,111.9,0.0,0,1,0,0,0,0,0,1,0.0,2308
22941,1,111.9,406.0,0,0,1,0,0,0,0,0,0.0,2193
22942,1,111.9,261.0,0,1,0,0,0,0,0,0,0.0,1970
22943,1,111.9,0.0,0,1,0,0,0,0,0,1,0.0,797
22944,1,111.9,293.0,0,1,0,0,0,0,0,0,1.0,735
22945,1,111.9,306.0,0,0,1,0,0,0,0,0,1.0,610
22946,1,111.9,0.0,0,1,0,0,0,0,0,1,1.0,501
22947,1,111.9,205.0,0,0,1,0,0,0,0,0,1.0,405
22949,1,111.9,0.0,0,1,0,0,0,0,0,1,0.0,284
22956,1,111.82,72.0,1,0,0,0,0,0,1,0,0.0,31
22955,1,111.82,0.0,0,1,0,0,0,0,1,1,0.0,59
22952,1,111.82,148.0,0,0,1,0,0,0,1,0,0.0,1031
22951,1,111.82,0.0,0,1,0,0,0,0,1,1,1.0,1771
22953,1,111.82,335.0,0,0,1,0,0,0,1,0,0.0,799
22957,1,105.3,0.0,0,1,0,0,0,0,0,1,0.0,1671
22958,1,112.15,0.0,0,1,0,1,0,1,0,1,1.0,1717
22959,1,112.15,138.0,1,0,0,0,0,1,0,0,0.0,1652
22963,1,105.23,109.0,0,1,0,0,0,0,0,0,0.0,431
22961,1,105.23,0.0,0,1,0,0,0,0,0,1,0.0,589
22960,1,105.23,13.0,1,0,0,0,0,0,0,0,0.0,721
22962,1,105.23,0.0,0,1,0,0,0,0,0,1,0.0,527
22975,1,108.06,0.0,0,1,0,0,0,1,0,1,1.0,67
22973,1,108.06,0.0,0,1,0,1,0,1,0,1,0.0,241
22972,1,108.06,319.0,0,0,1,0,0,1,0,0,0.0,322
22970,1,108.06,343.0,0,0,1,0,0,1,0,0,0.0,474
22969,1,108.06,339.0,0,0,1,0,0,1,0,0,0.0,498
22966,1,108.06,0.0,0,1,0,0,0,1,0,1,1.0,1976
22968,1,108.06,150.0,0,0,1,0,0,1,0,0,0.0,657
22976,1,109.47,57.0,1,0,0,0,0,0,0,0,0.0,1820
22977,1,103.19,17.0,1,0,0,0,0,0,0,0,1.0,1883
22978,1,103.19,29.0,0,1,0,0,0,0,0,0,0.0,1811
22979,1,103.19,0.0,0,1,0,0,0,0,0,1,1.0,1803
22981,1,103.19,240.0,0,1,0,0,0,0,0,0,0.0,-694
22982,1,108.06,246.0,0,0,1,0,0,0,0,0,1.0,2343
22983,1,108.06,248.0,0,0,1,0,0,0,0,0,1.0,2063
22984,1,108.06,31.0,1,0,0,0,0,0,0,0,0.0,1967
22985,1,109.44,23.0,1,0,0,0,0,0,0,0,0.0,2362
22986,1,109.44,0.0,0,1,0,0,0,0,0,1,0.0,51
22990,1,109.47,0.0,0,1,0,1,0,0,0,1,1.0,1756
22988,1,109.47,74.0,0,1,0,1,0,0,0,0,1.0,2123
22989,1,109.47,332.0,0,0,1,0,0,0,0,0,0.0,2087
22991,1,109.47,0.0,0,1,0,0,0,1,1,1,1.0,1837
22992,1,109.47,127.0,1,0,0,1,0,1,1,0,1.0,1781
22994,1,109.47,0.0,0,1,0,0,0,1,1,1,1.0,1666
22996,1,109.47,354.0,0,0,1,0,0,1,1,0,0.0,796
